IMD Rank,IMD Decile,ITL1,ITL2
20111,6,London,Outer London - East and North East
28836,9,London,Outer London - East and North East
28365,9,London,Outer London - East and North East
22334,7,London,Outer London - East and North East
25196,8,London,Outer London - East and North East
9830,3,London,Outer London - East and North East
8213,3,London,Outer London - East and North East
25518,8,London,Outer London - East and North East
24659,8,London,Outer London - East and North East
26901,8,London,Outer London - East and North East
9288,3,London,Outer London - East and North East
10354,4,London,Outer London - East and North East
6407,2,London,Outer London - East and North East
18718,6,London,Outer London - East and North East
21345,7,London,Outer London - East and North East
22831,7,London,Outer London - East and North East
15536,5,London,Outer London - East and North East
13073,4,London,Outer London - East and North East
11599,4,London,Outer London - East and North East
31644,10,London,Outer London - East and North East
18711,6,London,Outer London - East and North East
21267,7,London,Outer London - East and North East
9708,3,London,Outer London - East and North East
4284,2,London,Outer London - East and North East
27261,9,London,Outer London - East and North East
30147,9,London,Outer London - East and North East
25546,8,London,Outer London - East and North East
27479,9,London,Outer London - East and North East
22823,7,London,Outer London - East and North East
12352,4,London,Outer London - East and North East
27396,9,London,Outer London - East and North East
27514,9,London,Outer London - East and North East
32007,10,London,Outer London - East and North East
31313,10,London,Outer London - East and North East
16332,5,London,Outer London - East and North East
27365,9,London,Outer London - East and North East
21810,7,London,Outer London - East and North East
10910,4,London,Outer London - East and North East
12138,4,London,Outer London - East and North East
5964,2,London,Outer London - East and North East
6367,2,London,Outer London - East and North East
10432,4,London,Outer London - East and North East
14966,5,London,Outer London - East and North East
22707,7,London,Outer London - East and North East
8696,3,London,Outer London - East and North East
31106,10,London,Outer London - East and North East
29180,9,London,Outer London - East and North East
26878,8,London,Outer London - East and North East
25787,8,London,Outer London - East and North East
23728,8,London,Outer London - East and North East
17293,6,London,Outer London - East and North East
32490,10,London,Outer London - East and North East
11829,4,London,Outer London - East and North East
15041,5,London,Outer London - East and North East
17958,6,London,Outer London - East and North East
29648,9,London,Outer London - East and North East
24886,8,London,Outer London - East and North East
31634,10,London,Outer London - East and North East
8563,3,London,Outer London - East and North East
32796,10,London,Outer London - East and North East
28283,9,London,Outer London - East and North East
